,cleaned_job_role,cleaned_job_description,cleaned_skills,skills_extracted
226,Media Buyer - Google Ads,"An ideal candidate should have:2-4 years of experience in strategizing & executing performance marketing campaigns on Google advertising - search, display, youtube.Ability to understand the target audience, audience persona based on data provided.Ability to ideate & iterate product angles at break-neck speed in order to improve campaign conversion rates & ROI metricsUnderstanding of funnels and their associated metricsUnderstanding of conversion copywriting & pattern-interrupt adsAbility to scale campaigns in identified markets rapidly based on ROI benchmarkingStrong understanding of optimization tactics that impact ROI metricsAbility to operate in a hyper-paced startup & thrive under pressureExperience in Ed-tech, e-commerce, or digital agency would be an added advantage",,"['Google', 'Ed-tech']"
227,Founding Head of BizOps and Strategy,"Company Overview:We are building the AirBnB of long term home rentals in India. A 100% digital technology enabled brokerage focused just on home rentals. Nothing like this exists in India today and global comps are Quinto Andar (last valued at $5.5 bn) and Lianjia (IPO in NYSE at $87 bn).We are seeking someone who is not only passionate about startups, real estate, technology, but also thrives in a fast-paced startup environment and is excited to contribute to something truly groundbreaking and participate in the creation of something from zero to one. We seek to create a seamless and frictionless experience for renters and landlords alike and the crucial under pinner behind this kind of experience is a well-managed behind the scenes operational network.Responsibilities:Define, create and implement and completely own all SOPs relating to operations. tenant experience, vendor operations, trust&safety functions.Create from scratch and with complete autonomy an operations team to execute all business priorities.Define the strategic evolution of these functions to support rapid scaling while maintaining an extremely high bar for experience quality. You will make key decisions about resource allocation, expansion, and organizational and role changes.Partner closely with the product lead to support the evolution of Jugyahs internal tooling and identify opportunities for automation.Own customer success and experience functions in organization.Onboard and manage vendors on Ops / Quality / Processes related topics.Leading long-range planning and coordinating initiatives across the Department to break down silos and ensure all relevant program areas and stakeholders are engaged and timelines met; Managing day-to-day Department operations including reviewing all external communications,",Strategic thinker with at least 3+ years’ experience developing and growing operations functions across strategy consulting or early stage startups.|Have at least 3 years of experience leading medium to large sized teams (ideally across operations|trust & safety|or customer success).|strong at both strategy and execution.|Strong attention to detail and ability to multitask.,"['IPO', 'NYSE', 'trust&safety', 'Ops / Quality / Processes', 'Department']"
228,Head of Customer Success,"Must have5+ years of overall customer support experience in aB2C product company3+ years of experience heading or managing support teams of at least 10 people in a B2C product company3+ yrs experience with Freshdesk or similar ticket management solution, driving high NPS, process automation2+ years of hands-on experience in Voice/Chat/ Emails support as an individual contributorResponsibilitiesEnsure the customer is heard throughout the escalation processProvide customer insights and bug reports to tech and product teamsLook for ways to improve the product by listening to the usersBuild the team - hire and grow the customer support team Own the support function, set KRAs, KPIs for the team, and create support processesOversee, measure, and monitor the output of all support team membersEvaluate the tools available for the team and look for better solutionsHandle payments, reconciliations, and related operationsRequirementsProven experience in building and managing a customer support team with a high NPSHistory of driving successful change and improvement with impactful and measurable resultsHigh energy and bias for actionExcellent written communication skills in EnglishA keen willingness to learn new thingsPatience, maturity, and genuine customer empathyProactive attitude, initiative taker, finisher",,"['company3', 'company3', 'NPS', 'Voice/Chat/ Emails', 'KRAs', 'initiative taker']"
229,Fullstack Engineer,"Main Responsibilities of a Full stack engineerA full-stack engineers responsibility would be to build services based on the product roadmap. To be successful in this role, we would expect the engineer to have a balance between velocity and building stable software. Responsibilities include - Contribute to expanding our integrations portfolio. We have the ambition to build over 100+ integrations in the next 6 months. Scaling our integrations mechanism. We have figured out a way/design pattern to integrate and maintain our integrations at scale. Expanding our use case portfolio. We are building a lot of templates wherein users can get started on the platform quickly. For every component, we need corresponding services and UI components that go with it.Key Requirements You have a degree/diploma in CS, STEM or a related field You have 1 to 3 years of experience as a developer in SaaS oriented companies. Experience in startups would be preferred. You are proficient in golang esp. building microservices, highly available, reliable and scalable systems. Experience is rust is a plus Building distributed fault-tolerant systems Background or motivation Understanding DevOps, SRE, Day 2 operations is a plus. Interest in automation in general Collaborating effectively with the product, engineering, and management teams Identifying and automating the collection of customer feedback, usage metrics, and usability findings",,"['Main Responsibilities', 'UI', 'CS', 'golang esp', 'DevOps', 'SRE']"
230,Performance Marketing Head/Lead,"An ideal candidate should have:7+ years of experience in strategizing & executing performance marketing campaigns across social media, search engines, video & emails.Proven track record of driving and exceeding revenue/ business goals.Act as the chief architect of the delivery strategy, testing strategy, forecast, and plan for all the products.Team Management, Lead team to achieve targeted performance.Work on yearly, quarterly and monthly media plan.Partner closely with various lines of business to fully align on the overall customer acquisition strategy and prioritization in accordance with the evolving P&L priorities.Ability to ideate & iterate product angles at break-neck speed in order to improve campaign conversion rates & ROI metrics.Strong understanding of funnels and their associated metrics.Strong understanding of conversion copywriting & pattern-interrupt ads.Ability to scale campaigns in identified markets rapidly based on ROI benchmarking.Strong understanding of optimization tactics that impact ROI metrics.Solid expertise in setting up & managing Google Analytics, Google Tag Manager & Google Search Console.An entrepreneurial mindset and experience of setting up projects combined with a hands-on approach.Ability to identify new platforms based on consumer insights.Resilience to drive agenda in the face of a challenging environment.Ability to operate in a hyper-paced startup & thrive under pressure.Analytical ability to break a marketing problem down to solutions and impact measurement, ability to effectively manage time, build & manage a team of performance marketing professionals.Knowledge of media, online advertising, and agencies.Experience in Ed-tech, e-commerce, or digital agency would be an added advantage.",,"['Team Management', 'P&L', 'Google Analytics', 'Google Tag', 'Ed-tech']"
231,Brand Manager / Asst. Brand Manager,"What you will do: Take brand ownership and devise the brand strategy, including the setting of style guides, brand guidelines, brand vision and value proposition for short as well as the long term. Translate brand strategy into brand plan and go-to-market strategy. Plan and execute communications and media actions across offline, online and social media. Design degree brand & marketing campaigns for building brand awareness and brand love. Take end to end ownership of Henlos social media handle by curating the content strategy and managing the monthly social media calendar Own growth metrics of social media channels - engagement rate, follower growth etc. Use data, customer insights, feedback and customer-centric thinking to deeply understand the customer lifecycle and identify opportunities for growth and optimization at every stage. Ensure that marketing and communications efforts adhere to agreed timelines and manage the expectations with various stakeholders. Keeping up to date with market developments and analysing consumer insights as well as competitor strategies. Guide the Advertising & Promotion budgets. Work with different cross-functional teams as required, to effectively drive execution and performance.What were looking for: 2+years of work experience in Brand Marketing Ability to articulate ideas and key objectives Stakeholder and agency management is a must Experience presenting metrics and progress to goal with stakeholders MBA in Marketing/Brand Management preferredWhat we offer: Learning & Development: Work with veterinarians in a start-up environment with a steeplearning curve Ownership: Individually lead important charters with high impact potential Employee first culture: Putting employees above everything else. Be surrounded bypositivity and furry friends Perks & benefits: Salary matching market compensation.Interview Process:Connect with the Brand Marketing LeadAssignmentRound with the Category ManagerFinal round with the Co-founderOur preferred companies: Rage, Sleepy Owl, The Whole Truth, Mokobara, Spotify, Bumble, and Myntra.Working days: 6 days (Sunday holiday)",Candidates should be from a Consumer / D2C / Digital-tech brands|Should have completed an MBA in Brand Management or Marketing|Should be open to working for a startup,"['Brand Marketing Ability', 'Stakeholder', 'MBA', 'Marketing/Brand Management', 'Learning & Development', 'Perks &', 'the Brand Marketing']"
232,Senior Frontend Developer/Tech Lead (React),What are we looking for? 5-10 years of experience on a JS framework. 1+ Years of react experience is mandatory At Least 1+ years of experience in React jQuery or AngularJs v1 experience will not be counted. Strong CSS3 fundamentals. Flexbox is a swiss knife. But a fort is not meant to bebuilt only with swiss knives :) At least 2 years of hands-on experience on any of the preprocessors likeStylus/LESS/SCSS/Sass You have translated designs to pixel perfect frontend for a product at scale Must understand REST APIs and know how to interface with them,,"['JS', 'AngularJs', 'Flexbox']"
233,Salesforce Developer/ SFDC Specialist,"Responsibilities: Work with the Product and Design team to build, maintain and iterate on the SpotDraft application on the SpotDraft AppExchange Act as a leader for all SpotDraft integrations built across various app ecosystems Play an active role in positively influencing the design direction Check in and deploy code and configurations; participate in release management Participate in story planning, standups and retrospective Produce documentation and tutorials that enable other teamsRequirements: Minimum of 4+ years of Salesforce application development experience Experience working with Python & Django Expert in Lightning, Apex, VisualForce, SOQL/SOSL, and Javascript Experienced with Salesforce SOAP API, REST API, and BULK API Experienced with Web UI frameworks in Visualforce pages or Lightning components. Excellent verbal, written, communication, interpersonal and presentation skills Excellent cross-functional stakeholder management Passion for technology, industry research and enjoys solving business problemsWhy SpotDraft? When you join SpotDraft, you will be joining an ambitious team that is passionate about creating a globally recognized SaaS company & brand. We set each other up for success and encourage everyone in the team to play an active role in building the company. It is possibly the best time to join. The team is lean and still growing. There are endless opportunities to show immediate impact, build processes from scratch, and do things you have not done before. Building and selling to an international audience - which is always a great experience to have! Amazing teammates, great work culture & flat hierarchy.Our Core Values:1. Our business is to delight Customers2. Seize opportunities3. Details Matter4. Become 1% better every day5. Be transparent. Be candid.6. Play for each other.",,"['SpotDraft', 'SpotDraft', 'Python & Django Expert', 'VisualForce', 'SOQL/SOSL', 'BULK API Experienced', 'SpotDraft', 'SpotDraft', 'opportunities3']"
234,Senior Product Manager,"Primary Responsibilities: Develop and implement product strategies consistent with company vision Collect and analyze feedback from customers, stakeholders, and other teams to shaperequirements, features, and end products Work with senior management to create product plans and roadmaps Lead product managers and coordinate cross-functional teams Produce and review product requirements documents (PRD) Ensure products and releases are launched correctly and on schedule Make creative recommendations to expand product base and vision Suggest ways to track product use and impact on end-usersRequirement: Proven work experience in Product management Experience in product lifecycle management Solid technical background with understanding and/or hands-on experience in softwaredevelopment and web technologies Familiarity with Agile framework Organizational and leadership abilities Creative thinking skills and Problem-solving aptitude Proven ability to develop product and marketing strategies and effectively communicaterecommendations to executive management. Skilled at working effectively with cross-functional teams in a matrix organization",,"['Solid', 'Familiarity with Agile', 'Problem']"
235,Offline Channel Manager,"Candidate will be responsible for co-ordination with all our Distributor Partners, Area Sales Manager and Sales executives. Key responsibilities would involve: -Coordination with National Sales Head and Regional Sales Head for daily update-Smooth operation and dispatches of offline orders with internal teams-Overlooking Visibility, promotion and packaging materials for offline retail Stores-Monitoring sales executive team and their DSR-Market Visits to see placement and overall off takeHelping Area Sales Manager in creating Systems and Processes for Sales Team for better Product Placements.",Offline Retail Experience|Good People Skill|FMCG Experience|D2C experience,"['Distributor Partners', 'Overlooking Visibility', 'Systems']"
236,Front end Engineer,"As a front-end engineer, here are some of the things you might work on:Developing rich, dynamic and performant charts via extending visualization libraries like d3Developing a robust UI component library on top of ReactCreating narratives that combine visualizations, text, and videos with an eye toward performance and scalabilityBuilding an internal tool that makes creating rich stories easyCreating a system of interactive inline tools and widgetsProcessing tons of data points seamlesslyPairing closely with designers and back-end data infra engineers like pakodas and chaiYou will probably like working with us if.1) You like the ownership, camaraderie and chaos of a start-up environmentStart-ups are not right for everyone. Things move quickly and change frequently. Start ups have not ""made it"" yet. We have to convince customers we are valuable enough to them. We must be scrappy and flexible. Everyone will wear lots of hats.But: if you have future aspirations of being an entrepreneur or leader, you will find few better learning grounds. You will learn by doing. You will be given a ton of trust and responsibility. You will see very transparently how we operate and make decisions. Your work will absolutely matter to the success of our company.2) You value learning and have a growth mindsetSundial is founded on the idea that slope is far more important than intercept. We are a learning environment, and all of us have something to teach and learn from each other. We invest heavily in learning sessions, sharing insights, and reflecting on our growth. We are also very well connected within the open-source frontend developer community",,"['UI', 'ReactCreating']"
237,Android Developer,"What will you do? Translate designs and wireframes into high-quality code. Ensure the best possible performance, quality, and responsiveness of the application. Identify and correct bottlenecks and fix bugs. Help maintain code quality, organization and automation. Develop, release, maintain and optimize native Android Applications and oversee mobile application development efforts Work directly with developers and product managers to conceptualise, build, test and realise products Continuously discover, evaluate, and implement new technologies to maximise development efficiency Stay updated with the latest industry trends in mobile technologies Understand the market and participate in product roadmap discussionsWhat makes you a match for us?Technical Skills: Developing mobile apps using Android SDK with proficiency in Java / Kotlin Core Java with good knowledge of Kotlin with solid OOD principles and design patterns Jetpack components, RxJava and Dagger2 Storyboards, auto layout and size classes for UI designing Memory management, multithreaded programming and background processing Strong CS fundamentals (with competencies in algorithms and data structures) SaaS platforms for mobile development such as Analytics, Push Notifications, Cloud Storage, Ad Networks, etc Knowledge of Androids debugging, unit-testing, memory and performance optimization tools as well as experience of automated and manual testing platformsPersonality Traits: Excited to create something highly functional, useful, something that can set benchmarks Dealing well with ambiguity Prioritizing needs, and delivering results in a dynamic environment. Excellent verbal and written communication skills Problem-solving attitude. Highly accountable, takes ownership Capability to work independently in a fast-paced environment of a startup Ability to meet deadlines and work in a time bound environment Critical Thinker and Problem Solver High commitment levels and achievement oriented Team player",,"['Develop', 'Continuously', 'Android', 'UI', 'Strong CS', 'Analytics', 'Ad Networks', 'Problem', 'Problem Solver', 'Team']"
238,HR Manager - Talent Acquisition,"Job DescriptionOver the past year, we have gone from strength to strength and we are now looking for a self-motivated HR Manager to join our team and own our end-to-end recruitment process. Ultimately, you will help us build a strong employer brand and ensure we provide a positive candidate experience.ResponsibilitiesBe a part of manpower planningCoordinate with Department heads to forecast department goals and hiring needsOwn hiring goals with no supervision from senior managementWrite and post technical job descriptions in consultation with the stakeholdersSourcing for relevant profiles from Linkedin and other job portalsGetting profiles screened, setting up interviews, end to end candidate engagement through offer and post offer stagesCraft and send personalised recruiting emails with current job openings to passive candidatesInterview candidates combining various methods (e. g. structured interviews, technical assessments and behavioral questions)Candidate engagement preboarding through activities with multiple touch pointsManage a team of Talent Acquisition partnersRequirements7-8 years' prior proven track record in a talent acquisition role at a tech startupAbility to work well and thrive in a fast paced environment.Proven track record of having scaled up tech product organizations as a technical RecruiterHands-on experience with various interview formatsTechnical expertise with an ability to understand and explain job requirements for IT rolesFamiliarity with Applicant Tracking Systems and resume databasesSolid knowledge of sourcing techniques (e. g. social media recruiting etc)Excellent verbal and written communication skills",,"['Department', 'stagesCraft', 'questions)Candidate', 'Talent Acquisition', 'Applicant Tracking Systems']"
239,Head of Data Science,"What will you do? Lead and grow a team of Data Scientists and Machine Learning engineers Understand diverse datasets generated via Zenius apps, payments systems and other clickstream sources and generate insights Setup short term, mid term and long term roadmap to deliver superlative user experience Be a leading authority on choice of best in class ML models, stack, tools and processes Evangelize the need for data science across the organization and educate peers and other leaders in the company of the latest in data science and analytics Have a long term engineering bias and not a fan of short cuts to deliver quick winsJob Qualification Masters degree in Statistics, Mathematics or Computer science or Engineers from Tier 1 institutes 10+ years experience in Data Science and Analytics. Proficient in writing maintainable Python code and familiarity with its scientific stack such as numpy, pandas, scikit learn, matplotlib, pytorch, keras Demonstrated success in defining goals, formulating approach, building analytical models and continuous optimization. Strong communication, interpersonal skills Ability to collaborate effectively in a matrix environment located in multiple countries",,"['Data Scientists', 'ML', 'Qualification Masters', 'Statistics, Mathematics or Computer', 'Data Science and Analytics', 'pandas']"
240,Senior iOS Developer,"Requirements : Develop, release, maintain and optimize native iOS Applications and oversee mobile application development efforts Work directly with developers and product managers to conceptualise, build, test and realise products Have the ability to balance high response, stable and efficient code with attractive and functional aesthetics Hands-on experience in Multi-threaded programming, and good knowledge of networking concepts Continuously discover, evaluate, and implement new technologies to maximise development efficiency Stay updated with the latest industry trends in mobile technologies Understand the market and participate in product roadmap discussionsMinimum Qualifications : 3+ years of similar experience in iOS Developing mobile apps using iOS SDK with proficiency in Swift / Objective C Swift with solid OOD principles and modern design patterns like MVVM, VIPER, CLEAN Well versed with storyboards, auto layout, and size classes for UI designing Offline data management using CoreData / Realm / SQLite RxSwift / reactive paradigm. Strong CS fundamentals (with competencies in algorithms and data structures) Memory management and managing compute effectively SaaS platforms for mobile development - Analytics, Push Notifications, Cloud Storage, Ad Networks, etc iOS debugging, unit-testing, memory, and performance optimization tools Knowledge of automated and manual testing platforms",,"['Swift / Objective C Swift', 'VIPER', 'CLEAN', 'UI', 'CoreData / Realm / SQLite RxSwift', 'Ad Networks']"
241,Catalog Associate,"Duties and Responsibilities: Make consolidated spreadsheets to keep the specification, features, and compliance details of different brands in one place. Upload contents, images, and videos of all the brands on different portals as per the requirement. Audit the listings of different brands every week (after uploading) on all the portals to ensure that the data is reflecting on the front end. Verify the content on the images to check their relevance and ensure that the data is factually correct. Resolve the listing issues, as per the audit reports. Raise tickets on the platforms for the catalog/listing issue and get them resolved timely. Manage the calls with Agencies to get the catalogue images updated and up to the mark. Coordinate with the category managers to share the samples with the respective agencies for the photoshoot, video creation, and catalog images. Coordinate with agencies for the timely delivery of the mood boards and manage the timelines. Take the feedback from the internal team, share the same with the agencies, and coordinate until we get the final output.",,[]
242,Sales Manager (Tamil ),Responsibilities & Duties Training new hires. Create an inspiring team environment with an open communication culture Set clear team goals Delegate tasks and set deadlines Oversee day-to-day operation Monitor team performance and report on metrics Motivate team members Discover training needs and provide coaching Listen to team members feedback and resolve any issues or conflicts Recognize high performance and reward accomplishments Encourage creativity and risk-taking Suggest and organize team-building activities,,"['Responsibilities & Duties Training', 'Oversee', 'Listen', 'Recognize']"
243,DevOps Engineer,"Job Description: As a DevOps Engineer at Custiv, you will be at the forefront of optimising and managing our data infrastructure. You will play a pivotal role in ensuring data reliability, consistency, and availability while leveraging your expertise in databases, DevOps practices, cloud technologies, and CI/CD. You Will be working with a small engineering team that focuses on high impact and scalable solutions to work towards digitising the future of manufacturing",• Proficiency in DevOps practices|networking|tools|including Kubernetes|AWS|CI/CD pipelines and IaC technologies like P,"['Custiv', 'DevOps', 'CI']"
244,CSR Program Manager,"Able to Design and execute CSR projects.Understanding of Road Safety,Should have an understanding to do baseline survey,.Experience in setting up employees Volunteering initiatives,Project Management,CSR Event Management,Understanding of CSR compliance and reportingand related experiencemin 3 to 5+ yrs, Bangalore Based.",,"['CSR', 'Project Management', 'CSR Event Management', 'CSR']"
245,Product Analyst,"About the RoleAs we scale we are looking for a Product Analyst who will shape the direction of SpotDrafts products by using data-driven insights to identify opportunities and prioritize product and engineering initiatives. This is a pivotal role in the product team. The selected candidate will have complete ownership of driving and evangelizing product analytics in one of the fastest-growing SaaS companies in India.Responsibilities: Drive product impact by proposing and conducting quantitative research into key user behaviours - in partnership with product managers, engineers, designers and other team members Work with Product Managers to ensure the right instrumentation is set up for product features that are being launched Develop an In-depth understanding of user journeys on the SpotDraft platform and create funnels reports and dashboards. Measure, report and analyze metrics that indicate progress and gaps towards adoption and engagement goals.Requirements: 2+ years of experience in a similar role Passionate about solving problems possesses a relentless need for investigation and data exploration Strong foundation in data query/manipulation using SQL and data visualisation using tools like Metabase Experience in product analytics tools (Mixpanel, Amplitude, Heap, Google Analytics, Datadog etc) Experience using Python, R or other tools for statistical analysis is a strong plus. Should be able to engage with product managers and senior management. Growth Mindset",,"['SpotDrafts', 'Develop', 'SpotDraft', 'SQL', 'Metabase Experience', 'Google Analytics', 'Datadog']"
246,Human Resource Manager,"Human Resource Manager: Roles & Responsibilities- Own the recruiting cycle from end to end, spanning all areas and discipline- Design, plan and execute employer branding activities- Reviewing employment applications and background check reports- Partnering with external providers as required to ensure hiring needs are met.- Design performance review system- Determine HR and recruiting KPIs, and present the report to the leadership team.- Employee engagement and feedback- Payroll management and policies design & implementationKey skills: 1. 3 to 6 years of talent acquisition/HR experience. Working experience with any Edu-tech Company or a tier 1 Startup is a PLUS.2. Hands-on experience with posting jobs on social media and job boards3. Excellent communication, written, negotiation, and time management skills with attention to detail.4. Masters's Degree in Human Resources or related field.5. Proficiency with Microsoft Excel and familiarity with HR databases and Applicant Tracking Systems (ATS).6. Ability to work in a fast-paced environment. Being an enthusiastic team player with a solid drive to create a positive work environment.",,"['Degree in Human Resources', 'Microsoft Excel', 'Applicant Tracking Systems']"
247,Content Intern,"The resource will be responsible for a wide spectrum of projects including content creation across digital medium for one of the global tech brand which is transforming every category they enter with iconic inventions that work, perform and look very different.Understanding of content marketing ecosystem and the ability to think & develop original content that proves engagement for the brand would be important elements to this roleWill be responsible to understand brand briefs, suggest & evaluate most relevant platforms, drive innovations to create content campaigns.Responsibilities Of The Role:You will be responsible from bringing in platform neutral content-based ideas for the brand to formulating cross - platforms content strategy basis client briefs, Brainstorm with team-members to develop new ideas.Identify & pitch relevant opportunities in sync with brand objectives, topicals and trends.Liaison with internal & external stakeholders for brand campaigns.Tracking performance of the campaign and reporting.End to end project management from planning to executiony, Maintain client and partner relations.Managing finance, Negotiations and deal closures.Share and create Best Practices in content.Competencies & Skills:Radical thinking.Great Communication Skills.Smart professional who can think on his/her feet.Quick Decision-MakerSolution oriented.Some background in creating Content solutions.",,"['Brainstorm', 'Negotiations', 'Competencies & Skills:Radical', 'Great Communication Skills', 'Content']"
248,Copywriter,"We are looking for a copywriter who has proven experience and success in writing high-converting copies and building landing pages.What you will do:Manage and Organize the Content Calendar and complete multiple projects within given deadlines.Write conversion-friendly content in different formats like Emails, Website Copy, Landing Page Copy, Video Ad Scripts, Ad Copies, Press Releases.Communicate and Cooperate with the content team, mentors, and external parties involved and pick up new skills on the way.Monitoring and analyzing performance using a few performance indicators (KPIs) and offering suggestions for improvements.Come up with creative and inspiring ideas and content that get applause from the audience and get us conversions.Produce error-free content that adheres to the companys style guidelines.Perform various other tasks as per requirements.",,"['Emails', 'Communicate', 'Cooperate']"
249,Acquisition - Associate,"WHAT WILL YOU DO? Communicating with residents in houses Ivy Homes is evaluating, Channel Partners Ivy Homes team works with, Property Managers and Home Owners as necessary from time to time. Executing data gathering and logging data promptly on CRM. Generating dashboards and reports from CRM to share with stakeholders. Keeping up with product and service information and updates. Creating and maintaining a database of current and potential sellers. In-depth understanding of and coordination with the Operations team for Home Inspections Explaining and demonstrating features of products and services. Staying informed about competing products and services. Helping close acquisitions and achieving acquisition targets with the team.WHAT DO YOU NEED TO BRING TO THE TABLE? 0-6 years of experience in a similar role in the real estate industry is preferred but not mandatory. Experience in a field role and enthusiasm to learn record maintenance and reporting in a new CRM system Having experience in the real estate industry is a plus but not mandatory Proficient in English, Hindi and ideally some language(s) from the Southern part of India Good communication skills, both verbal and written. Good organisational skills Ability to work at a quick pace Ability to coordinate well with multiple stakeholders A desire to maintain data in order at all times. Strong observation skills Positive target driven mindset Willing to travel within Bangalore regularly - owning a bike is a big plus",,"['Channel Partners Ivy Homes', 'Property Managers and Home Owners', 'Operations', 'TABLE']"
250,Senior Python Developer,"Job Description: We are seeking a talented and experienced Senior Python Developer to join our team. The ideal candidate will have a minimum of 3+ years of experience in Python development, with strong skills in software design, architecture, and development.Responsibilities: Design, develop, and maintain Python applications and solutions. Write clean, efficient, and reusable code. Collaborate with cross-functional teams, including product managers, designers, and other developers, to define and implement software requirements. Identify and resolve technical issues, bugs, and performance bottlenecks. Stay up-to-date with new technologies, frameworks, and best practices. Mentor and guide junior developers.",Comfortable with startup environment|Impressive coding skills|Ability to solve problems on the go|Any day work week,[]
251,Performance Marketing Expert,"The role of a performance marketing specialist at Suraasa involves leading performance marketing for our global audiences from ideation, analytics, strategy to execution. Your own performance is measured on the basis of delta delivered in audience identification, revenue growth and brand amplification. Details of your responsibilities are mentioned below.Roles and Responsibilities :Work as a team member within our growth teamDevelop creatively data-informed ways of identifying audiences on several social media platformsOwn the planning of performance marketing and growth experiments to optimise for lead acquisition metrics across multiple channelsPlan Media Mix and media spend allocation and forecastingWork with external agencies to execute strategies on a day-to-day basis 6. Prepare analytics dashboards to track campaigns success, audiences response, lead generation flow (CRM), and media spendGather continuous feedback from internal stakeholders on campaign qualitySetup technical integrations and automation between CRMs, sales and marketing platforms to ensure a delightful customer experienceBe up-to-date on the hottest trends in performance marketing and identify suitability for our processesPerform weekly quality audits on all funnels, user journeys, & data capture processesKey Performance IndicatorsReturn on Advertising SpendQuantity and Cost of Qualified LeadsCommunity Size Growth & Engagement on Social MediaQualifications :Skill Fit -Work Experience of at least 1 year as a performance marketer (Preference will be given to people with prior experience in leading performance marketing agencies)Data-driven and advanced knowledge in Data Analytics and Visualisation (Excel, Alteryx, Tableau, Google Analytics)Strategic, objective-driven mindsetKnack for experimentation and testingBlood Group M+ (Marketing Positive)Cultural Fit-You love what you do: Everyone in the organisation is so passionate about what they do that the energy is contagiousYou respect everyone as good work relationships are built on mutual respectYou have a non-zero-sum mindset: You are not competing with anyone and believe in working together as a team towards a common goalYou are an open communicator: You believe in full transparency and open conflict resolutionYou are a hustler: You have a never-ending urge to move out of your comfort zone and learn as much as you canYour key values include integrity and kindness",,"['Suraasa', 'Data Analytics and Visualisation (Excel', 'Google Analytics)Strategic']"
252,Product Analyst,"Required Qualifications- Education: The Product Analyst must have a degree in Engineering or Business from a reputed college or university.- Experience: The work experience required for competency in this role is inclusive of: experience in Product Analytics.- Ms Office: The Product Analyst has to be extremely proficient in Microsoft Word, PowerPoint, and Excel.- Creativity and Vision: The Product Analyst must have great creative, and critical thinking skills. In addition to these, he must also possess excellent problem solving skills.- Organizational Skills: The Product Analyst has to have exceptional organizational skills, have great time management skills, be able to prioritize, be detail oriented, and be able to handle multiple tasks simultaneously.- People Skills: It is also extremely important for the Product Analyst to possess great people skills and be able to work independently as well as collaboratively with cross-functional teams.- Communication: Due to the roles demand for constant interaction with other people, whether during presentations to stakeholders and Product Managers, or during normal cross-functional collaborations; the Product Analyst must possess excellent skills in written and verbal communication.- Self-Motivated: The Product Analyst must be motivated and proactive, constantly taking initiative to learn emerging market research skills and tools that will increase his efficiency in the performance of his duties.",,"['Engineering or Business', 'Product Analytics.- Ms Office', 'Microsoft Word', 'PowerPoint', 'skills.- Organizational Skills', 'the Product Analyst']"
253,Data Engineer,"Responsibilities :- Designing, developing, constructing, installing, testing and maintaining the complete data management & processing systems.- Building a highly scalable, robust, fault-tolerant, & secure user data platform adhering to data protection laws.- Taking care of the complete ETL (Extract, Transform & Load) process.- Ensuring architecture is planned in such a way that it meets all the business requirements.- Exploring new ways of using existing data, to provide more insights out of it.- Proposing ways to improve data quality, reliability & efficiency of the whole system.- Creating data models to reduce system complexity and hence increase efficiency & reduce cost.- Introducing new data management tools & technologies into the existing system to make it more efficient.- Setting up monitoring and alarming on data pipeline jobs to detect failures and anomaliesWhat do we expect from you?- BS/MS in Computer Science or equivalent experience- 5 years of recent experience in Big Data Engineering.- Good experience in working with Hadoop and Big Data technologies like HDFS, Pig, Hive, Zookeeper, Storm, Spark, Airflow and NoSQL systems- Excellent programming and debugging skills in Java or Python.- Apache spark, python, hands on experience in deploying ML models- Has worked on streaming and realtime pipelines- Experience with Apache Kafka or has worked with any of Spark Streaming, Flume or Storm",,"['ETL (Extract, Transform & Load) process.- Ensuring', 'system.- Creating', 'BS/MS', 'Computer Science', 'Big Data', 'Big Data', 'Storm', 'ML']"
254,Junior content writer (Content and Blogs),"Key Responsibilities: Research industry-related topics (combining online sources, interviews and studies) Write clear marketing copy to promote our products/services on social media and other digital platforms Prepare well-structured drafts using Content Management Systems Proofread and edit blog posts before publication Prepare and manage content calendar Coordinate with marketing and design teams to illustrate articles and social media posts Conduct simple keyword research and use SEO guidelines to increase web traffic Work with social media team to create and promote content on social media Identify customers needs and gaps in our content and recommend new topics Ensure all-around consistency (style, fonts, images and tone) Update website and app content as needed",,"['Key Responsibilities: Research', 'Content Management Systems Proofread']"
255,Production Manager,"We are looking for a Production Manager with 2+ years of experience in content productionor similar experience.We produce video content at scale, for multiple product categories, including home, beauty,fashion, food, tech, etc.Some of the responsibilities of the role include, but are not limited to: Production planning and scheduling supervise day to day studio operations andshoots Ensure a high level of production quality is maintained Work closely with the pre-production and post production team to ensure theproduction flow runs smoothly and manage the production team Work closely with the project management team to create new video formatsIf you are looking for a challenging and exciting environment, and have a hands-onapproach, then this is the right place for you.The ideal candidate possesses a passion for content production, with an innate attention todetail and time management.Qualifications Bachelor's degree in Media Production, Communication, Marketing or relevant workexperience preferred, but not required Experience managing a team Intermediate proficiency of the Google Suite, specifically Google Sheets, or MicrosoftExcel Job is based in Bangalore",,"['Media Production', 'the Google Suite', 'Google Sheets']"
